,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'concrete']"
train_size,16713
test_size,4179
num_epochs,1000
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1387.16141819   30.99652388 1056.32011884]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 6.75764396 40.28132672  0.        ]
xyzh_max-min,359.9803756178284
criterion,MSELoss()
training_time_in_seconds,"2,454"
final_training_loss,0.01135133488432512
final_test_loss,0.029263116373775176
training_losses_summary,"[[0.53523057 0.4388111 ]
 [0.10284448 0.0002789 ]
 [0.08443181 0.00027143]
 [0.06920411 0.00025118]
 [0.05592557 0.00020173]
 [0.0466712  0.0001541 ]
 [0.03880115 0.00012179]
 [0.03406203 0.0000888 ]
 [0.02931484 0.00007213]
 [0.0253669  0.0000596 ]]"
test_losses_summary,"[[0.44087275 0.00248806]
 [0.10682838 0.00075518]
 [0.09663067 0.00072398]
 [0.08742364 0.00063927]
 [0.0801216  0.00046522]
 [0.07032521 0.00035791]
 [0.06858181 0.00037743]
 [0.06413154 0.00042884]
 [0.06393856 0.00043705]
 [0.05967242 0.00042328]]"
