,0
classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
mpc,
non_empty_classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
train_size,27984
test_size,6996
num_epochs,100
pos_enc_dim,10
tsp,1
batch_size,8
label_name,f_xyz
enc_input_size,60
num_present_classes,8
xyz_centroid,[1403.98796741  112.124757   1071.47985992]
xyz_max-min,3010.3
xyzh_centroid,[ 0.02118353 -0.75126644  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,565
final_training_loss,0.021995696589365035
final_test_loss,0.030547752635844576
training_losses_summary,"[[0.31537871 0.09629335 0.04954503 0.06009188 0.11299298 0.25135958 0.33886606 0.04419285]
 [0.1060543  0.04064907 0.00471439 0.00137771 0.03935892 0.11504279 0.06729695 0.00001115]
 [0.08624895 0.03123078 0.0045956  0.00133936 0.03567666 0.09759823 0.05241603 0.00001099]
 [0.07823756 0.02641311 0.00454887 0.00130516 0.03270575 0.08675214 0.04333971 0.00001094]
 [0.07200132 0.0230497  0.00452335 0.00127674 0.03119591 0.0795845  0.03798286 0.00001092]
 [0.06661727 0.02082195 0.00450017 0.00125281 0.02977112 0.07340933 0.034346   0.0000109 ]
 [0.06176679 0.01917689 0.00448269 0.00123227 0.02884228 0.06817278 0.0314986  0.00001087]
 [0.05803632 0.01811811 0.00445802 0.00122015 0.02813294 0.06397696 0.02924547 0.00001085]
 [0.05490337 0.01724302 0.00444941 0.00120274 0.02722581 0.06091061 0.02747933 0.00001081]
 [0.05118318 0.01646895 0.00443618 0.00119021 0.02658119 0.05706857 0.02606499 0.00001077]]"
test_losses_summary,"[[0.23782445 0.06245056 0.00455241 0.00171738 0.07020365 0.18237665 0.16216951 0.00058093]
 [0.11881114 0.03738014 0.00432957 0.00136623 0.04122572 0.11525761 0.06790168 0.00000855]
 [0.10552471 0.03024357 0.00423344 0.00133921 0.03835411 0.10387947 0.05728625 0.00000841]
 [0.08529651 0.02620438 0.00416736 0.00129591 0.03546559 0.0921855  0.05065649 0.00000835]
 [0.08348828 0.02418453 0.00413831 0.00127719 0.03366002 0.08919147 0.04525061 0.00000827]
 [0.07908602 0.02208419 0.00409549 0.00124898 0.03334743 0.08380303 0.04220304 0.00000823]
 [0.07724503 0.02152415 0.00411333 0.00124328 0.03242483 0.08468251 0.0422472  0.00000821]
 [0.07710519 0.02073903 0.00410819 0.00121004 0.03206716 0.08330697 0.03916612 0.0000082 ]
 [0.07724516 0.01933578 0.00406457 0.00120472 0.03083538 0.08198088 0.03779832 0.00000815]
 [0.07518048 0.01949256 0.00406009 0.00117041 0.03061893 0.08090316 0.03594438 0.00000815]]"
