,0
classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
mpc,
non_empty_classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
train_size,27984
test_size,6996
num_epochs,1000
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,8
xyz_centroid,[1403.98796741  112.124757   1071.47985992]
xyz_max-min,3010.3
xyzh_centroid,[ 0.02118353 -0.75126644  0.        ]
xyzh_max-min,360.0
criterion,ScaledWeightedMSELoss()
training_time_in_seconds,979
final_training_loss,0.21699597819864308
final_test_loss,0.8070434929644332
training_losses_summary,"[[82.94223057 82.94223057 82.94223057 82.94223057 82.94223057 82.94223057 82.94223057 82.94223057]
 [ 0.92538309  0.92538309  0.92538309  0.92538309  0.92538309  0.92538309  0.92538309  0.92538309]
 [ 0.66585742  0.66585742  0.66585742  0.66585742  0.66585742  0.66585742  0.66585742  0.66585742]
 [ 0.544997    0.544997    0.544997    0.544997    0.544997    0.544997    0.544997    0.544997  ]
 [ 0.45894252  0.45894252  0.45894252  0.45894252  0.45894252  0.45894252  0.45894252  0.45894252]
 [ 0.40888722  0.40888722  0.40888722  0.40888722  0.40888722  0.40888722  0.40888722  0.40888722]
 [ 0.34589754  0.34589754  0.34589754  0.34589754  0.34589754  0.34589754  0.34589754  0.34589754]
 [ 0.30543817  0.30543817  0.30543817  0.30543817  0.30543817  0.30543817  0.30543817  0.30543817]
 [ 0.27531581  0.27531581  0.27531581  0.27531581  0.27531581  0.27531581  0.27531581  0.27531581]
 [ 0.24343894  0.24343894  0.24343894  0.24343894  0.24343894  0.24343894  0.24343894  0.24343894]]"
test_losses_summary,"[[42.06992727 42.06992727 42.06992727 42.06992727 42.06992727 42.06992727 42.06992727 42.06992727]
 [ 1.08607811  1.08607811  1.08607811  1.08607811  1.08607811  1.08607811  1.08607811  1.08607811]
 [ 0.90099063  0.90099063  0.90099063  0.90099063  0.90099063  0.90099063  0.90099063  0.90099063]
 [ 0.86451416  0.86451416  0.86451416  0.86451416  0.86451416  0.86451416  0.86451416  0.86451416]
 [ 0.78699054  0.78699054  0.78699054  0.78699054  0.78699054  0.78699054  0.78699054  0.78699054]
 [ 0.77140155  0.77140155  0.77140155  0.77140155  0.77140155  0.77140155  0.77140155  0.77140155]
 [ 0.84839352  0.84839352  0.84839352  0.84839352  0.84839352  0.84839352  0.84839352  0.84839352]
 [ 0.77782217  0.77782217  0.77782217  0.77782217  0.77782217  0.77782217  0.77782217  0.77782217]
 [ 0.79075525  0.79075525  0.79075525  0.79075525  0.79075525  0.79075525  0.79075525  0.79075525]
 [ 0.78530419  0.78530419  0.78530419  0.78530419  0.78530419  0.78530419  0.78530419  0.78530419]]"
