,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,13992
test_size,3498
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,1024
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.09268153  120.55114923 1067.89079474]
xyz_max-min,3001.2
xyzh_centroid,[-0.03901658 -0.77485992  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,215
final_training_loss,0.005569968779404685
final_test_loss,0.07705005009969076
training_losses_summary,"[[0.61303753 0.71477226]
 [0.08687755 0.05125688]
 [0.06333548 0.0462473 ]
 [0.05133833 0.04312181]
 [0.03595173 0.03443513]
 [0.02364062 0.02203824]
 [0.01639673 0.01417764]
 [0.012058   0.00948211]
 [0.00953992 0.00679873]
 [0.00764918 0.00540605]]"
test_losses_summary,"[[0.60789014 0.70444513]
 [0.08764366 0.06108737]
 [0.0718643  0.05676514]
 [0.06735926 0.05563766]
 [0.06912008 0.0545138 ]
 [0.07303011 0.05736438]
 [0.07680369 0.06061431]
 [0.07968539 0.06316073]
 [0.08171079 0.06491181]
 [0.08329962 0.06733993]]"
