x,y,z,xh,yh,zh,f_xyz,image_name
179.3,42.4,615.1,0.3,-56.3,0.0,"[0,0,0,0,0,383161]",pos487-0-buildingData-5
180.9,42.4,620.1,-1.5,28.6,-0.0,"[0,0,0,0,0,383161]",pos487-1-buildingData-5
180.9,47.4,619.4,3.3,125.2,0.0,"[54048,0,0,0,0,329113]",pos487-0-buildingData-10
184.0,47.4,618.4,-1.3,151.3,0.0,"[534,0,0,0,0,382627]",pos487-1-buildingData-10
175.9,52.4,616.6,1.8,-10.2,0.0,"[70401,0,0,0,0,312760]",pos487-0-buildingData-15
175.8,52.4,615.3,3.8,65.0,-0.0,"[359959,0,0,0,0,23202]",pos487-1-buildingData-15
179.6,62.4,617.2,-2.3,-3.8,0.0,"[260669,0,0,0,0,122492]",pos487-0-buildingData-25
179.1,62.4,615.0,4.8,81.5,0.0,"[264813,0,0,0,0,118348]",pos487-1-buildingData-25
183.5,82.4,620.2,4.1,-79.1,0.0,"[18150,0,0,0,0,365011]",pos487-0-buildingData-45
180.8,82.4,613.0,1.8,157.0,0.0,"[139,0,0,0,0,383022]",pos487-1-buildingData-45
178.6,107.4,615.3,-0.0,-49.4,-0.0,"[0,0,0,0,0,383161]",pos487-0-buildingData-70
179.9,107.4,615.8,-4.4,-47.2,0.0,"[0,0,0,0,0,383161]",pos487-1-buildingData-70
183.3,157.4,619.1,-4.0,162.2,-0.0,"[119,0,0,0,0,383042]",pos487-0-buildingData-120
179.5,157.4,615.8,2.5,-46.2,0.0,"[0,0,0,0,0,383161]",pos487-1-buildingData-120
178.2,207.4,613.5,-3.2,-27.4,0.0,"[39259,0,0,0,0,343902]",pos487-0-buildingData-170
182.0,207.4,621.5,1.8,-57.6,0.0,"[1735,0,0,0,0,381426]",pos487-1-buildingData-170
179.3,257.4,618.7,-1.1,110.5,0.0,"[0,0,0,0,0,383161]",pos487-0-buildingData-220
181.4,257.4,613.2,4.4,22.5,-0.0,"[0,0,0,0,0,383161]",pos487-1-buildingData-220
179.5,307.4,619.0,2.9,7.0,0.0,"[0,0,0,0,0,383161]",pos487-0-buildingData-270
180.8,307.4,614.2,3.8,-32.3,-0.0,"[0,0,0,0,0,383161]",pos487-1-buildingData-270
