,x,y,z,xh,yh,zh,f_xyz,image_name
0,85.0,54.3,241.4,3.5,137.7,0.0,"[277022,0,0,0,0,106139]",pos967-0-buildingData-20
1,85.0,54.3,241.4,0.7,3.2,0.0,"[383161,0,0,0,0,0]",pos967-1-buildingData-20
2,85.0,94.3,241.4,-0.7,-167.2,0.0,"[136858,0,0,0,51512,194791]",pos967-0-buildingData-60
3,85.0,94.3,241.4,0.8,163.4,0.0,"[73072,0,0,0,15587,294502]",pos967-1-buildingData-60
4,85.0,134.3,241.4,-1.6,140.8,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-100
5,85.0,134.3,241.4,-0.0,-175.2,-0.0,"[91634,0,0,0,19366,272161]",pos967-1-buildingData-100
6,85.0,174.3,241.4,2.2,-88.7,0.0,"[53429,0,0,0,5701,324031]",pos967-0-buildingData-140
7,85.0,174.3,241.4,1.4,171.5,0.0,"[16758,0,0,0,2233,364170]",pos967-1-buildingData-140
8,85.0,234.3,241.4,-1.5,149.6,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-200
9,85.0,234.3,241.4,2.4,38.6,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-200
0,500.5,49.0,387.9,-0.0,160.8,-0.0,"[0,0,0,0,1011,382150]",pos41-0-buildingData-20
1,500.5,49.0,387.9,-4.4,-107.0,0.0,"[19630,0,0,0,17688,345843]",pos41-1-buildingData-20
2,500.5,89.0,387.9,-2.8,-79.7,0.0,"[11066,0,0,0,4594,367501]",pos41-0-buildingData-60
3,500.5,89.0,387.9,1.3,88.1,-0.0,"[40354,0,0,0,60079,282728]",pos41-1-buildingData-60
4,500.5,129.0,387.9,-3.9,8.5,-0.0,"[22272,0,0,0,0,360889]",pos41-0-buildingData-100
5,500.5,129.0,387.9,-0.5,111.1,-0.0,"[61125,0,0,1,31497,290538]",pos41-1-buildingData-100
6,500.5,169.0,387.9,-2.6,-79.6,-0.0,"[19854,0,0,0,7451,355856]",pos41-0-buildingData-140
7,500.5,169.0,387.9,-3.8,26.1,-0.0,"[64911,0,0,0,1124,317126]",pos41-1-buildingData-140
8,500.5,229.0,387.9,2.9,12.1,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-200
9,500.5,229.0,387.9,2.6,-59.7,0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-200
0,2683.6,10.0,743.8,-3.4,125.7,-0.0,"[77271,0,0,0,960,304930]",pos863-0-buildingData-20
1,2683.6,10.0,743.8,2.2,169.5,-0.0,"[10725,0,0,0,898,371538]",pos863-1-buildingData-20
2,2683.6,48.8,743.8,-4.3,179.6,0.0,"[5822,0,0,0,441,376898]",pos863-0-buildingData-60
3,2683.6,48.8,743.8,0.4,-78.6,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-60
4,2683.6,88.8,743.8,0.2,103.4,0.0,"[103168,0,0,0,26829,253164]",pos863-0-buildingData-100
5,2683.6,88.8,743.8,-0.5,26.4,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-100
6,2683.6,128.8,743.8,-4.6,-48.0,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-140
7,2683.6,128.8,743.8,3.6,-4.8,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-140
8,2683.6,188.8,743.8,4.8,165.2,0.0,"[24636,0,0,0,3806,354719]",pos863-0-buildingData-200
9,2683.6,188.8,743.8,-3.0,-141.2,0.0,"[0,0,0,0,130,383031]",pos863-1-buildingData-200
0,7.5,55.4,7.7,2.6,-110.2,0.0,"[81236,0,0,0,1422,300503]",pos961-0-buildingData-20
1,7.5,55.4,7.7,-3.5,157.7,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-20
2,7.5,95.4,7.7,-1.5,173.2,0.0,"[55624,0,0,0,3340,324197]",pos961-0-buildingData-60
3,7.5,95.4,7.7,2.8,-70.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-60
4,7.5,135.4,7.7,2.0,171.4,0.0,"[25140,0,0,0,4477,353544]",pos961-0-buildingData-100
5,7.5,135.4,7.7,2.8,-78.0,-0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-100
6,7.5,175.4,7.7,3.3,175.1,0.0,"[18445,0,0,0,5640,359076]",pos961-0-buildingData-140
7,7.5,175.4,7.7,4.6,4.6,-0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-140
8,7.5,235.4,7.7,0.5,-20.2,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-200
9,7.5,235.4,7.7,-2.0,42.5,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-200
0,2270.4,23.0,999.2,-0.0,73.3,0.0,"[383161,0,0,0,0,0]",pos806-0-buildingData-20
1,2270.4,23.0,999.2,3.4,84.9,0.0,"[383161,0,0,0,0,0]",pos806-1-buildingData-20
2,2270.4,63.0,999.2,2.6,-22.8,0.0,"[33249,0,0,0,4,349908]",pos806-0-buildingData-60
3,2270.4,63.0,999.2,-3.5,95.4,-0.0,"[383161,0,0,0,0,0]",pos806-1-buildingData-60
4,2270.4,103.0,999.2,-2.2,59.7,0.0,"[175820,0,0,1,48562,158778]",pos806-0-buildingData-100
5,2270.4,103.0,999.2,-4.9,-169.9,-0.0,"[165597,0,0,0,17242,200322]",pos806-1-buildingData-100
6,2270.4,143.0,999.2,0.2,79.5,0.0,"[124773,0,0,0,51116,207272]",pos806-0-buildingData-140
7,2270.4,143.0,999.2,-2.1,94.5,-0.0,"[151737,0,0,0,44084,187340]",pos806-1-buildingData-140
8,2270.4,203.0,999.2,-2.0,-61.7,0.0,"[0,0,0,0,0,383161]",pos806-0-buildingData-200
9,2270.4,203.0,999.2,2.3,-174.3,0.0,"[30286,0,0,0,6483,346392]",pos806-1-buildingData-200
0,766.5,49.0,767.1,2.7,164.6,0.0,"[29658,0,0,0,6403,347100]",pos1330-0-buildingData-20
1,766.5,49.0,767.1,3.3,54.2,-0.0,"[24587,0,0,0,7893,350681]",pos1330-1-buildingData-20
2,766.5,89.0,767.1,1.4,92.5,0.0,"[10091,0,0,0,4505,368565]",pos1330-0-buildingData-60
3,766.5,89.0,767.1,-4.0,166.0,0.0,"[71026,0,0,0,11601,300534]",pos1330-1-buildingData-60
4,766.5,129.0,767.1,1.8,93.3,0.0,"[9167,0,0,0,1755,372239]",pos1330-0-buildingData-100
5,766.5,129.0,767.1,0.5,-156.9,0.0,"[134229,0,0,0,23896,225036]",pos1330-1-buildingData-100
6,766.5,169.0,767.1,1.8,129.2,0.0,"[747,0,0,0,0,382414]",pos1330-0-buildingData-140
7,766.5,169.0,767.1,-2.7,90.0,-0.0,"[12361,0,0,0,2833,367967]",pos1330-1-buildingData-140
8,766.5,229.0,767.1,-2.5,-117.1,-0.0,"[114323,0,0,0,43030,225808]",pos1330-0-buildingData-200
9,766.5,229.0,767.1,0.1,18.0,0.0,"[10389,0,0,0,0,372772]",pos1330-1-buildingData-200
0,1259.2,46.0,1330.7,-1.8,-32.4,0.0,"[222006,0,0,0,56075,105080]",pos1879-0-buildingData-20
1,1259.2,46.0,1330.7,2.3,-155.1,0.0,"[363063,0,0,0,0,20098]",pos1879-1-buildingData-20
2,1259.2,86.0,1330.7,-0.3,146.1,0.0,"[113893,0,0,0,58079,211189]",pos1879-0-buildingData-60
3,1259.2,86.0,1330.7,-2.6,-9.4,0.0,"[196836,0,0,0,130423,55902]",pos1879-1-buildingData-60
4,1259.2,126.0,1330.7,-2.9,162.1,0.0,"[106199,0,0,4,37643,239315]",pos1879-0-buildingData-100
5,1259.2,126.0,1330.7,-1.7,5.7,-0.0,"[95011,0,0,0,106999,181151]",pos1879-1-buildingData-100
6,1259.2,166.0,1330.7,4.9,-178.7,0.0,"[35979,0,0,0,2238,344944]",pos1879-0-buildingData-140
7,1259.2,166.0,1330.7,-2.3,127.4,0.0,"[102901,0,0,0,40414,239846]",pos1879-1-buildingData-140
8,1259.2,226.0,1330.7,3.0,51.1,-0.0,"[14894,0,0,0,4052,364215]",pos1879-0-buildingData-200
9,1259.2,226.0,1330.7,-4.7,-11.7,0.0,"[87113,0,0,0,59574,236474]",pos1879-1-buildingData-200
0,2871.8,10.0,1326.0,-3.7,-79.3,0.0,"[0,0,0,0,0,383161]",pos1168-0-buildingData-20
1,2871.8,10.0,1326.0,-0.3,122.3,-0.0,"[25399,0,0,0,7651,350111]",pos1168-1-buildingData-20
