,x,y,z,xh,yh,zh,f_xyz,image_name
0,85.0,54.3,241.4,-2.3,174.1,0.0,"[199276,0,0,0,33346,150539]",pos967-0-buildingData-20
1,85.0,54.3,241.4,-3.2,44.4,0.0,"[199748,0,0,0,0,183413]",pos967-1-buildingData-20
2,85.0,94.3,241.4,-1.8,-92.0,0.0,"[196571,0,0,0,69172,117418]",pos967-0-buildingData-60
3,85.0,94.3,241.4,-0.4,66.2,-0.0,"[7317,0,0,0,0,375844]",pos967-1-buildingData-60
4,85.0,134.3,241.4,0.4,86.3,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-100
5,85.0,134.3,241.4,4.5,-100.8,-0.0,"[62151,0,0,0,15547,305463]",pos967-1-buildingData-100
6,85.0,174.3,241.4,-2.7,-74.2,0.0,"[96441,0,0,0,791,285929]",pos967-0-buildingData-140
7,85.0,174.3,241.4,4.3,-20.2,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-140
8,85.0,234.3,241.4,1.3,61.6,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-200
9,85.0,234.3,241.4,-4.7,-138.3,-0.0,"[46410,0,0,0,19533,317218]",pos967-1-buildingData-200
0,500.5,49.0,387.9,-1.9,-12.4,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-20
1,500.5,49.0,387.9,2.3,169.4,-0.0,"[503,0,0,0,1442,381216]",pos41-1-buildingData-20
2,500.5,89.0,387.9,-3.4,-158.8,0.0,"[27563,0,0,0,14830,340768]",pos41-0-buildingData-60
3,500.5,89.0,387.9,-5.0,-43.3,0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-60
4,500.5,129.0,387.9,-1.0,-124.4,0.0,"[42693,0,0,0,32014,308454]",pos41-0-buildingData-100
5,500.5,129.0,387.9,-1.7,-110.6,-0.0,"[39618,0,0,0,32596,310947]",pos41-1-buildingData-100
6,500.5,169.0,387.9,1.0,-99.8,0.0,"[51733,0,0,0,24487,306941]",pos41-0-buildingData-140
7,500.5,169.0,387.9,4.4,-101.9,0.0,"[52797,0,0,0,27537,302827]",pos41-1-buildingData-140
8,500.5,229.0,387.9,2.4,-12.1,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-200
9,500.5,229.0,387.9,-4.2,156.4,-0.0,"[729,0,0,0,241,382191]",pos41-1-buildingData-200
0,2683.6,10.0,743.8,-3.5,-11.3,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-20
1,2683.6,10.0,743.8,3.1,92.6,0.0,"[57024,0,0,0,18662,307475]",pos863-1-buildingData-20
2,2683.6,48.8,743.8,3.4,152.8,0.0,"[39337,0,0,0,8535,335289]",pos863-0-buildingData-60
3,2683.6,48.8,743.8,-0.7,83.2,0.0,"[80695,0,0,0,26875,275591]",pos863-1-buildingData-60
4,2683.6,88.8,743.8,2.8,-174.5,0.0,"[8555,0,0,0,1134,373472]",pos863-0-buildingData-100
5,2683.6,88.8,743.8,-5.0,66.0,0.0,"[102276,0,0,1,14772,266112]",pos863-1-buildingData-100
6,2683.6,128.8,743.8,4.4,110.3,0.0,"[102050,0,0,0,44331,236780]",pos863-0-buildingData-140
7,2683.6,128.8,743.8,0.4,78.8,0.0,"[106114,0,0,0,44103,232944]",pos863-1-buildingData-140
8,2683.6,188.8,743.8,-3.0,-75.3,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-200
9,2683.6,188.8,743.8,-1.6,161.9,0.0,"[36055,0,0,0,9933,337173]",pos863-1-buildingData-200
0,7.5,55.4,7.7,4.7,-64.3,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-20
1,7.5,55.4,7.7,-3.8,8.8,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-20
2,7.5,95.4,7.7,-3.6,123.0,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-60
3,7.5,95.4,7.7,-3.7,89.6,-0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-60
4,7.5,135.4,7.7,-3.7,-35.4,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-100
5,7.5,135.4,7.7,1.3,-179.5,0.0,"[36443,0,0,0,26389,320329]",pos961-1-buildingData-100
6,7.5,175.4,7.7,1.1,-27.6,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-140
7,7.5,175.4,7.7,0.3,-134.8,0.0,"[76134,0,0,0,35635,271392]",pos961-1-buildingData-140
8,7.5,235.4,7.7,3.5,83.5,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-200
9,7.5,235.4,7.7,4.5,133.1,-0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-200
0,2270.4,23.0,999.2,3.7,160.5,0.0,"[148971,0,0,0,208908,25282]",pos806-0-buildingData-20
