,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,13992
test_size,3498
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,1024
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.09268153  120.55114923 1067.89079474]
xyz_max-min,3001.2
xyzh_centroid,[-0.03244711 -0.26522013  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,206
final_training_loss,0.005429966031244102
final_test_loss,0.04694359877778845
training_losses_summary,"[[0.58151883 0.78597429]
 [0.09162915 0.02023447]
 [0.06035069 0.01957119]
 [0.04573995 0.01921524]
 [0.03551461 0.01886445]
 [0.02635073 0.018103  ]
 [0.01902013 0.01613656]
 [0.01435041 0.01190506]
 [0.01058252 0.00756849]
 [0.00827284 0.0052845 ]]"
test_losses_summary,"[[0.57419033 0.77092966]
 [0.09820997 0.01995811]
 [0.07235848 0.01945625]
 [0.06395921 0.01932119]
 [0.06201492 0.01932247]
 [0.06341151 0.01933846]
 [0.06530784 0.01947522]
 [0.0677058  0.01980532]
 [0.06978714 0.01989475]
 [0.0722296  0.02000248]]"
