,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,13992
test_size,3498
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,16
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.09268153  120.55114923 1067.89079474]
xyz_max-min,3001.2
xyzh_centroid,[ 0.01789594 -0.12999428  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,"2,971"
final_training_loss,0.0016297166325985133
final_test_loss,0.06401905173968561
training_losses_summary,"[[0.23201146 0.21898724]
 [0.03625412 0.03175563]
 [0.01761782 0.01678803]
 [0.00944233 0.00977445]
 [0.00635886 0.00641601]
 [0.00492425 0.00419587]
 [0.00379114 0.00337526]
 [0.00280702 0.00242852]
 [0.0035729  0.00319447]
 [0.00213585 0.00205223]]"
test_losses_summary,"[[0.10918478 0.12306462]
 [0.06027185 0.05689973]
 [0.06233103 0.05926747]
 [0.06225005 0.06205274]
 [0.06418794 0.06523748]
 [0.0629166  0.06397213]
 [0.06044186 0.06343957]
 [0.06177087 0.0644834 ]
 [0.06048452 0.06401557]
 [0.06159398 0.06666894]]"
