,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,['metal']
train_size,27984
test_size,6996
num_epochs,100
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,1
xyz_centroid,[1408.07905946  112.10726701 1067.89239851]
xyz_max-min,3010.0
xyzh_centroid,[ 0.00914808 -0.10405946  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,321
final_training_loss,0.0004947115258640651
final_test_loss,0.000806498464874437
training_losses_summary,"[[0.27439252]
 [0.00112656]
 [0.00098776]
 [0.00082913]
 [0.00074008]
 [0.00068913]
 [0.00065966]
 [0.00063607]
 [0.00055057]
 [0.00052976]]"
test_losses_summary,"[[0.00051428]
 [0.00045227]
 [0.0004924 ]
 [0.00062817]
 [0.00044601]
 [0.00042972]
 [0.00037493]
 [0.00044819]
 [0.00043788]
 [0.00086989]]"
training_losses_history,"[[0.27439252]
 [0.00114767]
 [0.00113336]
 [0.00113225]
 [0.001132  ]
 [0.00113182]
 [0.00113155]
 [0.00113106]
 [0.00113018]
 [0.00112874]
 [0.00112656]
 [0.00112253]
 [0.00111806]
 [0.00111091]
 [0.00109756]
 [0.00108513]
 [0.00107217]
 [0.00105232]
 [0.00103214]
 [0.00101362]
 [0.00098776]
 [0.00096982]
 [0.00093219]
 [0.0009173 ]
 [0.00090712]
 [0.00088897]
 [0.00087957]
 [0.00084766]
 [0.00086142]
 [0.00082781]
 [0.00082913]
 [0.00081933]
 [0.00079543]
 [0.00079235]
 [0.00078594]
 [0.00078642]
 [0.00076155]
 [0.00077665]
 [0.00075887]
 [0.0007596 ]
 [0.00074008]
 [0.00073101]
 [0.00073548]
 [0.00071133]
 [0.00069949]
 [0.00073104]
 [0.00070284]
 [0.0006979 ]
 [0.00069985]
 [0.00069652]
 [0.00068913]
 [0.00070288]
 [0.00068027]
 [0.00068879]
 [0.00066862]
 [0.00068242]
 [0.00064971]
 [0.00066896]
 [0.00066442]
 [0.00064874]
 [0.00065966]
 [0.00066136]
 [0.00063608]
 [0.00065434]
 [0.00064407]
 [0.00063669]
 [0.0006439 ]
 [0.00064533]
 [0.00064441]
 [0.0006048 ]
 [0.00063607]
 [0.00061644]
 [0.00059073]
 [0.00058021]
 [0.00065466]
 [0.00057628]
 [0.00058474]
 [0.00059322]
 [0.00055817]
 [0.00059989]
 [0.00055057]
 [0.00057514]
 [0.00055277]
 [0.00055165]
 [0.00055532]
 [0.00053174]
 [0.00052418]
 [0.00053937]
 [0.00054387]
 [0.00051205]
 [0.00052976]
 [0.00057852]
 [0.00050676]
 [0.00052119]
 [0.00053237]
 [0.00050512]
 [0.00053887]
 [0.00050132]
 [0.00048318]
 [0.00049471]]"
test_losses_history,"[[0.00051428]
 [0.00045849]
 [0.00045775]
 [0.00045725]
 [0.00045589]
 [0.00045227]
 [0.00044553]
 [0.00043657]
 [0.00043233]
 [0.00047251]
 [0.0004924 ]
 [0.00077431]
 [0.00071653]
 [0.00050178]
 [0.00063295]
 [0.00062817]
 [0.0007269 ]
 [0.00078036]
 [0.000523  ]
 [0.00074555]
 [0.00044601]
 [0.00056627]
 [0.00055037]
 [0.00048679]
 [0.00060263]
 [0.00042972]
 [0.00050301]
 [0.00060147]
 [0.00039573]
 [0.00044232]
 [0.00037493]
 [0.00052139]
 [0.00040521]
 [0.00043956]
 [0.00045066]
 [0.00044819]
 [0.00055957]
 [0.00088168]
 [0.00059511]
 [0.00091967]
 [0.00043788]
 [0.0006187 ]
 [0.00041829]
 [0.00038245]
 [0.00071589]
 [0.00086989]
 [0.00046948]
 [0.00046709]
 [0.00048561]
 [0.0008065 ]]"
