,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' road ' ' sidewalk' ' surface' ' tree' ' sky']
train_size,27376
test_size,6844
num_epochs,1000
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,17
xyz_centroid,[1560.3946582   158.9955782  1091.83489123]
xyz_max-min,3001.2469314885
xyzh_centroid,[-10.1753051   41.55953909   0.64276173]
xyzh_max-min,359.9999345663
criterion,MSELoss()
training_time_in_seconds,"2,426"
final_training_loss,0.0029132395274034002
final_test_loss,0.009443102576324094
training_losses_summary,"[[0.26780273 0.23376238 0.21415827 0.269287   0.18107985 0.34391688 0.18018755 0.32419566 0.34815211 0.25782984 0.25640013 0.16348843 0.21843198 0.25535215 0.22106232 0.23167952 0.18162579]
 [0.01673888 0.00370005 0.00078884 0.00012935 0.0043467  0.00979013 0.00853189 0.03988659 0.03473693 0.01997047 0.01049413 0.00640675 0.00413456 0.00201927 0.00114156 0.00031093 0.00856384]
 [0.01205786 0.00234327 0.00070761 0.00010842 0.00300155 0.00652251 0.00589507 0.03661736 0.03113388 0.01731498 0.00853355 0.00499396 0.00320734 0.0015181  0.00081406 0.00023591 0.00587292]
 [0.01017939 0.00177234 0.00062065 0.00010059 0.00248536 0.00536935 0.00493598 0.03184213 0.02783366 0.01526612 0.00754045 0.00444013 0.00278954 0.00124513 0.0006004  0.00021693 0.00492331]
 [0.00911215 0.00146629 0.00053723 0.00009641 0.00215643 0.00476721 0.00450741 0.02628776 0.02344889 0.01359919 0.00699301 0.00407713 0.00251937 0.00108747 0.00050031 0.00019296 0.00450337]
 [0.00850301 0.00125933 0.0004777  0.00009181 0.00191593 0.00431414 0.00422181 0.02187536 0.01953018 0.01232914 0.00648597 0.00377738 0.00222106 0.00096574 0.00043859 0.00017327 0.00422057]
 [0.00732731 0.00109931 0.00044111 0.00008741 0.00172881 0.00386838 0.00368185 0.01749443 0.01617238 0.01100847 0.00596574 0.00345775 0.00195531 0.00085836 0.00040034 0.00015357 0.00367428]
 [0.00682348 0.00095514 0.00041232 0.00008248 0.00155335 0.00358766 0.00346881 0.01368577 0.01345443 0.00993687 0.00560589 0.00318608 0.0017144  0.00078369 0.00037626 0.00013513 0.00347492]
 [0.00607088 0.00089059 0.00039072 0.00007982 0.00138495 0.00334342 0.00312716 0.01123433 0.01148398 0.00898928 0.00519417 0.00295489 0.00151818 0.00072006 0.00035515 0.00012129 0.00311891]
 [0.00577256 0.00084077 0.00037326 0.00007782 0.00125754 0.00316842 0.00292424 0.00940132 0.01005697 0.00831126 0.0049323  0.00273259 0.00137105 0.00067295 0.00033928 0.00011147 0.00292485]]"
test_losses_summary,"[[0.19511261 0.06967638 0.0018004  0.00215059 0.01415811 0.0564296  0.17616969 0.06249289 0.08561232 0.04965862 0.05921257 0.05094842 0.0264883  0.01162594 0.00403536 0.00144336 0.17739422]
 [0.02233716 0.00422769 0.00061013 0.00011759 0.00431244 0.01214125 0.01076682 0.0447292  0.0372413  0.0197811  0.01215196 0.00625429 0.00421362 0.00209588 0.0010959  0.0003042  0.01078904]
 [0.01951501 0.00309174 0.00058214 0.00010222 0.00314795 0.00940078 0.00906934 0.04471494 0.03733311 0.01836705 0.01035334 0.00500154 0.00335298 0.00156024 0.00079659 0.00023203 0.00907143]
 [0.01964282 0.00263628 0.00053342 0.00009723 0.00271818 0.00876003 0.00922616 0.04614301 0.03748492 0.01799834 0.00906984 0.00462886 0.00298549 0.00130914 0.00060416 0.00021158 0.00920083]
 [0.02056108 0.00230402 0.00047945 0.00009187 0.00241101 0.0080944  0.00977555 0.04835566 0.03808193 0.01738218 0.00856632 0.00416937 0.00270418 0.00113408 0.00050365 0.00018745 0.0097334 ]
 [0.01799565 0.00216267 0.00044911 0.00008912 0.00221607 0.00764736 0.0089147  0.04821356 0.03905314 0.01703383 0.00807911 0.00394651 0.00241861 0.00100257 0.00043884 0.00016275 0.00886681]
 [0.01846853 0.0019343  0.00043339 0.00008468 0.00204127 0.00757706 0.0088709  0.04875129 0.03901891 0.01668641 0.00781256 0.00379391 0.00215089 0.00092694 0.00042942 0.00014659 0.00890802]
 [0.01764166 0.00197357 0.00041422 0.00008113 0.00190943 0.00725279 0.00871262 0.04853701 0.04039074 0.01697596 0.00761151 0.00356939 0.00198419 0.00083799 0.00037704 0.00013022 0.00878148]
 [0.01682055 0.00168537 0.00039378 0.00008037 0.00180149 0.00716904 0.00845467 0.04855955 0.03871841 0.01674443 0.00737114 0.00344858 0.00172139 0.00077988 0.00035423 0.00011568 0.00846224]
 [0.01711378 0.00164009 0.00038263 0.00007803 0.00164918 0.00716677 0.00847323 0.05025367 0.03866511 0.01727293 0.0071913  0.00325859 0.00157785 0.00072355 0.00033825 0.00010893 0.00852981]]"
