,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' tree' ' sky']
train_size,16985
test_size,4247
num_epochs,300
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,4
xyz_centroid,[1405.75168128   61.76370485 1065.28489355]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.23473534  37.42628072 -15.13309896]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,785
final_training_loss,0.012497427194142945
final_test_loss,0.019874976392224
training_losses_summary,"[[0.42558216 0.40123495 0.35952128 0.26918028]
 [0.05885898 0.01589695 0.03494999 0.03513908]
 [0.04680952 0.00839944 0.02464213 0.02594386]
 [0.04102998 0.00618885 0.02048536 0.02199008]
 [0.03718701 0.00514855 0.01779905 0.0199279 ]
 [0.03398987 0.0044295  0.01576552 0.01811208]
 [0.0311485  0.00382126 0.01420244 0.01656824]
 [0.02883102 0.0033696  0.01302009 0.01549443]
 [0.02740349 0.00292964 0.01209979 0.01482845]
 [0.0251383  0.00253563 0.01112942 0.0136533 ]]"
test_losses_summary,"[[0.39281853 0.06870141 0.09555814 0.26093874]
 [0.06097057 0.01550012 0.03626062 0.03666785]
 [0.05257294 0.00932128 0.0256681  0.03047204]
 [0.0461602  0.00709798 0.02213228 0.02642387]
 [0.04333212 0.00603853 0.02064716 0.0244122 ]
 [0.04274957 0.00528437 0.0193338  0.02500136]
 [0.04001127 0.00479754 0.01825484 0.02251458]
 [0.04018619 0.00440366 0.01759091 0.0221894 ]
 [0.03809056 0.00405068 0.0173121  0.02142159]
 [0.03802116 0.00431392 0.01840525 0.0219631 ]]"
