,x,y,z,xh,yh,zh,f_xyz,image_name
0,85.0,54.3,241.4,-3.2,140.2,0.0,"[8819,0,0,0,314532,59810]",pos967-0-buildingData-20
1,85.0,54.3,241.4,2.3,92.0,-0.0,"[0,0,0,0,382912,249]",pos967-1-buildingData-20
2,85.0,94.3,241.4,-3.4,-173.8,-0.0,"[99451,0,0,0,115649,168061]",pos967-0-buildingData-60
3,85.0,94.3,241.4,-2.2,-36.6,-0.0,"[66777,0,0,0,108321,208063]",pos967-1-buildingData-60
4,85.0,134.3,241.4,2.7,161.1,0.0,"[19506,0,0,0,7879,355776]",pos967-0-buildingData-100
5,85.0,134.3,241.4,4.8,71.1,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-100
6,85.0,174.3,241.4,3.4,45.1,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-140
7,85.0,174.3,241.4,-3.0,112.4,-0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-140
8,85.0,234.3,241.4,3.3,-102.9,0.0,"[25481,0,0,0,24192,333488]",pos967-0-buildingData-200
9,85.0,234.3,241.4,1.8,-139.0,0.0,"[44784,0,0,0,21622,316755]",pos967-1-buildingData-200
0,500.5,49.0,387.9,-1.8,-169.0,-0.0,"[6372,0,0,0,5836,370953]",pos41-0-buildingData-20
1,500.5,49.0,387.9,2.2,74.2,0.0,"[16575,0,0,0,29813,336773]",pos41-1-buildingData-20
2,500.5,89.0,387.9,-0.4,-41.5,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-60
3,500.5,89.0,387.9,2.6,166.2,-0.0,"[1487,0,0,0,827,380847]",pos41-1-buildingData-60
4,500.5,129.0,387.9,2.9,58.9,0.0,"[89015,0,0,0,27097,267049]",pos41-0-buildingData-100
5,500.5,129.0,387.9,-0.7,104.5,-0.0,"[35391,0,0,1,72709,275060]",pos41-1-buildingData-100
6,500.5,169.0,387.9,-3.9,73.7,0.0,"[39971,0,0,0,44145,299045]",pos41-0-buildingData-140
7,500.5,169.0,387.9,-2.1,6.6,-0.0,"[6878,0,0,0,0,376283]",pos41-1-buildingData-140
8,500.5,229.0,387.9,1.2,13.5,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-200
9,500.5,229.0,387.9,0.7,176.2,-0.0,"[19465,0,0,0,8845,354851]",pos41-1-buildingData-200
0,2683.6,10.0,743.8,-3.6,117.0,-0.0,"[62237,0,0,0,21844,299080]",pos863-0-buildingData-20
1,2683.6,10.0,743.8,2.1,-31.6,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-20
2,2683.6,48.8,743.8,1.7,-104.1,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-60
3,2683.6,48.8,743.8,-0.8,34.8,0.0,"[17063,0,0,0,9,366089]",pos863-1-buildingData-60
4,2683.6,88.8,743.8,-2.8,45.0,-0.0,"[38340,0,0,0,3292,341529]",pos863-0-buildingData-100
5,2683.6,88.8,743.8,0.7,-31.8,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-100
6,2683.6,128.8,743.8,-3.5,-130.1,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-140
7,2683.6,128.8,743.8,-3.7,165.1,0.0,"[27041,0,0,0,7187,348933]",pos863-1-buildingData-140
