x,y,z,xh,yh,zh,image_name,f_xyz,predictions
0,842.5106601410772,95.80620382225194,1458.2977995297426,161.93403641249424,65.99726079995851,-163.40647592071196,,,"[0.8776419758796692, 0.16424329578876495, 0.6262279152870178, 0.9691723585128784]"
1,842.5106601410772,95.80620382225194,1458.2977995297426,-12.930650146086752,-70.34013687385982,-12.223249728739074,,,"[0.9788259863853455, 0.610943078994751, 0.8494313955307007, 0.7574719786643982]"
2,842.5106601410772,95.80620382225194,1458.2977995297426,121.17245211720349,-59.54503237089159,122.88985348916157,,,"[0.4146118462085724, 0.32316091656684875, 0.47240468859672546, 0.999830424785614]"
3,842.5106601410772,95.80620382225194,1458.2977995297426,163.92953494208425,64.57528374354277,-165.4093488558847,,,"[0.8846256732940674, 0.15831907093524933, 0.6248362064361572, 0.9679440855979919]"
4,842.5106601410772,95.80620382225194,1458.2977995297426,-141.4884994313862,86.16096057605145,141.5529313585803,,,"[0.9376190304756165, 0.6237607002258301, 0.8776283860206604, 0.9081012010574341]"
5,842.5106601410772,95.80620382225194,1458.2977995297426,29.152097082359873,75.68703359813095,-28.823193096296386,,,"[0.8145574331283569, 0.679764449596405, 0.8964977264404297, 0.9735742807388306]"
6,851.6097348032647,123.58442034991975,1427.9675506557842,162.73859574191056,64.69929857645874,-164.3105348804193,,,"[0.7722755670547485, 0.2333480417728424, 0.6272383332252502, 0.9896576404571533]"
7,851.6097348032647,123.58442034991975,1427.9675506557842,137.92054187046728,81.26370260039677,-138.25458989931113,,,"[0.6522440314292908, 0.4887920618057251, 0.7039440870285034, 0.9963575005531311]"
8,851.6097348032647,123.58442034991975,1427.9675506557842,175.56257078952655,84.10709665723364,-175.57870090514723,,,"[0.9625160098075867, 0.22873049974441528, 0.6816920638084412, 0.8503779768943787]"
9,851.6097348032647,123.58442034991975,1427.9675506557842,142.0852187163546,78.57683584237564,-142.7344912481758,,,"[0.6779842972755432, 0.4497002363204956, 0.6756675839424133, 0.995902955532074]"
10,851.6097348032647,123.58442034991975,1427.9675506557842,7.045367995922887,84.35028688804734,-7.007371667707387,,,"[0.888994038105011, 0.7074342966079712, 0.9146592617034912, 0.9449505805969238]"
11,851.6097348032647,123.58442034991975,1427.9675506557842,-156.842176469114,53.149901119357466,159.70390600415124,,,"[0.9083471894264221, 0.6011022329330444, 0.8803213834762573, 0.9072579741477966]"
12,830.0034312445204,158.2337185590799,1499.9885625182656,179.16961221308608,51.809553460125905,-179.3512165422085,,,"[0.714886486530304, 0.3600515127182007, 0.6684443354606628, 0.9922382235527039]"
13,830.0034312445204,158.2337185590799,1499.9885625182656,1.5407936645208817,85.42241170749051,-1.5353085722846584,,,"[0.7615532279014587, 0.8475083112716675, 0.9540993571281433, 0.9398225545883179]"
14,830.0034312445204,158.2337185590799,1499.9885625182656,-179.99823968452816,64.35495835523707,-0.00022872791024042272,,,"[0.9598587155342102, 0.299669474363327, 0.7027055621147156, 0.8588595986366272]"
15,830.0034312445204,158.2337185590799,1499.9885625182656,178.44865896959988,65.10192657698593,-178.59311257961133,,,"[0.7390769720077515, 0.4239969849586487, 0.7194587588310242, 0.9894266724586487]"
16,830.0034312445204,158.2337185590799,1499.9885625182656,131.08725482437805,81.00460126102735,-131.43928648434886,,,"[0.5141683220863342, 0.48164376616477966, 0.5920026898384094, 0.9992238283157349]"
17,830.0034312445204,158.2337185590799,1499.9885625182656,0.4567434095601116,11.624704816649153,0.08062622620983113,,,"[0.6334952116012573, 0.7956756353378296, 0.9128305912017822, 0.9725524187088013]"
18,839.0699771789552,114.57866758504434,1469.766742736816,4.088052900624206,74.99574313797406,-3.950129546875432,,,"[0.8128637671470642, 0.8271629810333252, 0.9573594927787781, 0.9397456049919128]"
19,839.0699771789552,114.57866758504434,1469.766742736816,-0.17584776386179163,85.508184525642,0.1758354378324703,,,"[0.9140737652778625, 0.6965725421905518, 0.9169628024101257, 0.9247051477432251]"
20,839.0699771789552,114.57866758504434,1469.766742736816,178.43627782627593,66.11693674028459,-178.5733337958344,,,"[0.9066516757011414, 0.22120094299316406, 0.6658875346183777, 0.9435081481933594]"
