,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,27984
test_size,6996
num_epochs,350
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.07905946  112.10726701 1067.89239851]
xyz_max-min,3010.0
xyzh_centroid,[ 0.00914808 -0.10405946  0.        ]
xyzh_max-min,360.0
criterion,ScaledWeightedMSELoss()
training_time_in_seconds,894
final_training_loss,2.322663499593917e-05
final_test_loss,7.489498648569193e-05
training_losses_summary,"[[0.00063702 0.00063702]
 [0.00008588 0.00008588]
 [0.00006934 0.00006934]
 [0.00005766 0.00005766]
 [0.00004857 0.00004857]
 [0.00004133 0.00004133]
 [0.00003639 0.00003639]
 [0.00003133 0.00003133]
 [0.00002775 0.00002775]
 [0.00002591 0.00002591]]"
test_losses_summary,"[[0.0002985  0.0002985 ]
 [0.00009212 0.00009212]
 [0.00008171 0.00008171]
 [0.00007925 0.00007925]
 [0.00007567 0.00007567]
 [0.00007645 0.00007645]
 [0.00007816 0.00007816]
 [0.00007548 0.00007548]
 [0.00007661 0.00007661]
 [0.00007996 0.00007996]
 [0.00007632 0.00007632]]"
