,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,['metal']
train_size,27984
test_size,6996
num_epochs,30
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,1
xyz_centroid,[1408.07905946  112.10726701 1067.89239851]
xyz_max-min,3010.0
xyzh_centroid,[ 0.00914808 -0.10405946  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,84
final_training_loss,0.0008919230374699276
final_test_loss,0.0007151757715805
training_losses_summary,"[[0.20670087]
 [0.0011314 ]
 [0.00113048]
 [0.0011273 ]
 [0.0011181 ]
 [0.00109873]
 [0.00106796]
 [0.00101645]
 [0.00097889]
 [0.00092192]]"
test_losses_summary,"[[0.00052305]
 [0.0004582 ]
 [0.00045737]
 [0.00045684]
 [0.00045525]
 [0.00045261]
 [0.00044682]
 [0.00044176]
 [0.0004356 ]
 [0.0004314 ]
 [0.0004453 ]
 [0.00045472]
 [0.00044469]
 [0.00047572]
 [0.00071518]]"
training_losses_history,"[[0.20670087]
 [0.00114911]
 [0.00113263]
 [0.0011314 ]
 [0.00113111]
 [0.00113084]
 [0.00113048]
 [0.0011298 ]
 [0.00112882]
 [0.0011273 ]
 [0.00112508]
 [0.00112202]
 [0.0011181 ]
 [0.00111363]
 [0.00110839]
 [0.00109873]
 [0.00109311]
 [0.00108071]
 [0.00106796]
 [0.00105955]
 [0.00104337]
 [0.00101645]
 [0.00101242]
 [0.00099038]
 [0.00097889]
 [0.00094854]
 [0.00094907]
 [0.00092192]
 [0.00091898]
 [0.00089192]]"
test_losses_history,"[[0.00052305]
 [0.0004582 ]
 [0.00045737]
 [0.00045684]
 [0.00045525]
 [0.00045261]
 [0.00044682]
 [0.00044176]
 [0.0004356 ]
 [0.0004314 ]
 [0.0004453 ]
 [0.00045472]
 [0.00044469]
 [0.00047572]
 [0.00071518]]"
